algorithm,instance,cost_min,cost_mean,cost_max,cost_std,time_min,time_mean,time_max,time_std
ACO,ESC07.sop,2125,2125.0,2125,0.0,0.2621333599090576,0.28412249088287356,0.3200564384460449,0.018769566612310277
ACO,ESC11.sop,2075,2179.7,2336,97.80712312164864,0.7889852523803711,1.104245948791504,1.3065509796142578,0.1594416712201336
ACO,ESC12.sop,1675,1675.0,1675,0.0,1.0885465145111084,1.2833192586898803,1.590712070465088,0.14739774319751794
ACO,ESC25.sop,2040,2100.5,2271,99.37275504102928,2.5911552906036377,3.893904519081116,5.245630502700806,0.8384331994509435
ACO,ESC47.sop,2365,2513.3,2828,146.72426899157173,12.31312084197998,18.734549903869627,23.914058208465576,3.95320194497337
ACO,ESC63.sop,62,62.7,64,0.6749485577105535,20.51010823249817,27.226806974411012,36.6279354095459,6.3545980630164784
ACO,ESC78.sop,19580,20216.0,20690,411.29065148626967,31.45111322402954,47.440719318389895,62.34242486953735,11.171188808847138
GA,ESC07.sop,2125,2125.0,2125,0.0,0.2729833126068115,0.3054877758026123,0.37648868560791016,0.03459811273570586
GA,ESC11.sop,2145,2329.1,2583,152.0799862645385,0.3605825901031494,0.5807033538818359,1.1102526187896729,0.24501166537708305
GA,ESC12.sop,1675,1752.6,1847,41.71117622678867,0.40973711013793945,0.6865083456039429,0.9092779159545898,0.17654128099142768
GA,ESC25.sop,3266,3801.5,4307,356.1195960160948,1.1182522773742676,1.8150290966033935,2.420236825942993,0.5089035705873796
GA,ESC47.sop,5428,6872.3,8103,872.8871697482506,3.1847140789031982,4.0462726354599,4.376951217651367,0.34841190705890707
GA,ESC63.sop,89,98.7,109,6.976946164173676,5.47353458404541,5.5898354053497314,5.69468355178833,0.06841166346074798
GA,ESC78.sop,19740,20362.0,20855,319.4804810591375,6.953797340393066,7.254455661773681,7.483438491821289,0.16815556677353952
