generation,best_cost,avg_cost,min_cost,diversity
0,13378,17023.76,13378,1826.4625160128526
1,13378,16384.27,13378,1621.8639021508557
2,13378,15971.53,13378,1571.3355240367985
3,12565,15661.23,12565,1677.5039603828066
4,12565,15042.41,12565,1422.2068984152763
5,12438,14810.96,12438,1555.7443165250515
6,12438,14402.32,12438,1451.446608594336
7,11820,14145.57,11820,1394.970574994326
8,11820,13819.57,11820,1162.5572265914482
9,11541,13371.49,11541,1197.790211138829
10,10469,13088.11,10469,1076.2055277222842
11,10469,12820.48,10469,1201.282185666632
12,10439,12400.43,10439,1085.0755665390316
13,10305,12225.8,10305,1480.812722797856
14,10042,11737.95,10042,1239.953889263629
15,9937,11107.49,9937,1000.118607916081
16,9819,10916.94,9819,916.0887928579849
17,9266,10744.98,9266,740.3381386906931
18,9266,10551.64,9266,892.7335943045945
19,9126,10517.99,9126,976.6112890500498
20,8846,10215.28,8846,906.3366932878753
21,8846,10143.94,8846,1329.4241822683985
22,8846,10081.05,8846,1106.2101009753978
23,8615,9627.32,8615,816.2943327011404
24,8615,9250.18,8615,929.3158169320051
25,8338,8978.94,8338,499.45972450238673
26,8187,8942.13,8187,537.8681186870997
27,8187,8860.79,8187,643.7488686592001
28,8187,8887.95,8187,707.7589190536563
29,8187,8851.44,8187,683.5095949582566
30,8126,8827.9,8126,687.0490739386817
31,8126,8724.07,8126,1011.4162966355645
32,8092,8638.06,8092,693.3919212105085
33,7898,8569.56,7898,687.7546265929442
34,7898,8398.73,7898,469.9494410040297
35,7898,8760.78,7898,1318.6594297239906
36,7671,8564.37,7671,816.3324158086581
37,7671,8368.44,7671,1100.2308514125573
38,7671,8192.94,7671,654.6539974673644
39,7658,8109.77,7658,792.218339285326
40,7658,8113.04,7658,794.1143610337242
41,7658,7928.32,7658,940.0643475847809
42,7546,7945.78,7546,779.6359609458763
43,7339,8088.34,7339,1169.8383924286295
44,7326,7970.77,7326,619.5694287971285
45,7326,8314.88,7326,1703.3040731472463
46,7326,8131.73,7326,1205.6629616522189
47,7313,8066.51,7313,772.6148263526917
48,7313,8160.78,7313,1057.684911303929
49,7201,8064.73,7201,979.4199084662308
50,7201,7987.19,7201,932.5858533668631
51,7201,8147.89,7201,1899.5562476273242
52,6972,7715.19,6972,743.2983881995171
53,6972,7770.43,6972,796.2723435483616
54,6972,7933.28,6972,1179.7915076826075
55,6972,7904.78,6972,1159.3807535059395
56,6972,7830.65,6972,898.9253514613991
57,6972,7749.11,6972,968.1464960944702
58,6972,7795.22,6972,789.0247471404176
59,6819,7724.57,6819,1103.0207183457617
60,6748,7341.3,6748,1056.4759959412233
61,6748,7424.5,6748,1485.2898404015293
62,6748,7240.47,6748,1002.4937551426442
63,6634,7247.92,6634,1354.3042027550532
64,6563,7351.75,6563,1629.8766970234283
65,6563,7332.05,6563,1796.1678060526528
66,6563,7145.91,6563,1044.1904241564373
67,6563,7067.11,6563,836.7605977219529
68,6563,7012.78,6563,1303.4089655975213
69,6563,6900.82,6563,1086.8187556349956
70,6563,6787.52,6563,626.4332922187326
71,6563,6669.68,6563,354.12472040229
72,6563,6775.88,6563,613.399727420872
73,6563,6756.05,6563,670.8434448513303
74,6563,6807.15,6563,777.0762945168253
75,6563,7008.3,6563,1607.2588559407598
76,6563,6856.58,6563,861.5986325430188
77,6563,6777.19,6563,546.542490479926
78,6563,6825.48,6563,957.6389348809918
79,6534,6741.67,6534,605.4202351259826
80,6534,6740.53,6534,479.2094000538804
81,6397,6887.71,6397,1423.2430663453101
82,6397,6758.75,6397,541.3743690829849
83,6397,6916.8,6397,1775.3099729343041
84,6397,6749.55,6397,984.3229284640279
85,6392,6701.07,6392,1017.4045631409365
86,6392,6682.34,6392,965.0672745461843
87,6392,6681.72,6392,957.9409489107353
88,6392,6664.44,6392,1046.7779928905652
89,6392,6898.2,6392,1628.9682992618366
90,6392,6656.84,6392,561.8808898690183
91,6392,6557.38,6392,448.32144227105624
92,6392,6623.55,6392,914.6250748257454
93,6392,6650.38,6392,621.8738743507399
94,6392,6658.96,6392,777.0490064339572
95,6392,6823.74,6392,1992.9954973356064
96,6392,6601.4,6392,583.0872490459725
97,6392,6765.38,6392,1450.5890650353049
98,6392,6576.46,6392,494.39151327667423
99,6348,6491.9,6348,325.10818199485533
100,6348,6894.33,6348,1358.4376323924484
101,6348,6729.1,6348,946.005681801119
102,6348,6855.95,6348,1325.1717501893856
103,6348,6707.38,6348,638.1466098006006
104,6348,6922.35,6348,1430.9141929200368
105,6348,6697.09,6348,801.0463044668517
106,6348,6520.24,6348,466.39704372991054
107,6321,6531.53,6321,576.3084322652237
108,6321,6679.57,6321,1106.3088651457153
109,6321,6517.13,6321,488.2772707181853
110,6321,6636.85,6321,1412.2328375661004
111,6321,6614.79,6321,1008.6104331703096
112,6321,6645.06,6321,1167.860854896678
113,6321,6559.73,6321,762.4978931774173
114,6321,6535.52,6321,532.1582937435064
115,6321,6592.1,6321,834.3591013466562
116,6321,6540.96,6321,513.6962705724075
117,6321,6507.67,6321,551.5467170603049
118,6321,6642.65,6321,1054.774642992521
119,6321,6569.71,6321,795.5082689073696
120,6253,6532.31,6253,1199.2337111255667
121,6253,6636.0,6253,639.2157538734476
122,6253,6532.58,6253,527.211497977804
123,6253,6645.43,6253,662.1302327337123
124,6253,6707.52,6253,880.3299208819384
125,6112,7135.98,6112,1633.1761814329768
126,6027,6995.99,6027,1048.0537533447414
127,5959,6979.7,5959,835.9941566781433
128,5959,6790.56,5959,788.2720383217967
129,5959,6638.65,5959,1033.365960103196
130,5919,6472.26,5919,716.8828303146896
131,5919,6422.12,5919,1009.2723446126917
132,5919,6234.69,5919,943.7498894834372
133,5919,6212.92,5919,554.247087137136
134,5919,6111.31,5919,495.6082262230925
135,5919,6180.33,5919,600.4916661370082
136,5919,6209.6,5919,848.6012844675644
137,5864,6245.79,5864,1016.2252535240402
138,5860,6186.33,5860,640.4158657466257
139,5860,6178.55,5860,768.9626177519945
140,5860,6447.62,5860,1735.300024664323
141,5850,6233.37,5850,706.0915755764262
142,5688,6299.65,5688,715.8842416899537
143,5688,6290.6,5688,792.4106637344048
144,5688,6359.38,5688,1430.0153200577959
145,5599,6136.19,5599,608.1381371859522
146,5599,6220.05,5599,1039.652330108484
147,5599,6237.82,5599,1257.1235450821848
148,5376,6286.29,5376,1854.4571027392353
149,5376,6093.82,5376,908.895718770861
150,5376,6123.65,5376,1212.1829018345377
151,5376,6070.98,5376,1494.8458046233402
152,5317,5829.67,5317,579.906131283331
153,5317,5814.82,5317,611.1113545009616
154,5317,6069.62,5317,1585.091100094881
155,5317,5918.79,5317,1325.7112679237514
156,5317,5719.94,5317,757.610359221678
157,5317,5854.95,5317,935.6803340350806
158,5199,5731.99,5199,1251.8658434113458
159,5199,5601.08,5199,1133.32885501076
160,5199,5709.93,5199,1367.3326461033541
161,5199,5625.55,5199,1281.9707358204398
162,5199,5517.24,5199,1405.476596176543
163,5199,5432.61,5199,653.0476689338994
164,5176,5466.4,5176,674.3120197653308
165,5176,5502.17,5176,752.3464501810319
166,5176,5494.38,5176,646.3953864315555
167,5176,5591.9,5176,1103.43951805253
168,5176,5659.9,5176,1288.5431036639793
169,5176,5904.92,5176,2114.6528778028796
170,5087,5573.45,5087,1306.6440707017348
171,5087,5579.67,5087,694.8531939194063
172,5087,5544.68,5087,948.0267916045411
173,5087,5716.7,5087,953.1002098415465
174,5064,5872.58,5064,1768.3797226840165
175,5064,5448.64,5064,665.5966874917574
176,5064,5261.98,5064,493.0269156952793
177,5064,5273.98,5064,840.6602164965344
178,5064,5288.72,5064,592.6377659245148
179,5064,5372.73,5064,524.9589480140328
180,5064,5481.49,5064,788.5040455825194
181,5064,5430.94,5064,656.504041419396
182,5064,5454.12,5064,676.4786955994992
183,5064,5479.7,5064,739.5362127712207
184,5064,5246.44,5064,487.8503524647696
185,5064,5429.29,5064,1608.372707397138
186,5064,5350.49,5064,1101.871122182626
187,5064,5319.42,5064,662.5783905320185
188,5064,5304.68,5064,847.231879475743
189,5064,5355.76,5064,771.6487688061195
190,5064,5477.43,5064,1392.94151531929
191,5064,5676.24,5064,2151.2032127160837
192,5064,5305.68,5064,719.4141210735303
193,5064,5286.34,5064,833.121038265149
194,5064,5360.63,5064,1186.5035832647116
195,5064,5309.6,5064,603.1046343711844
196,5064,5511.89,5064,1591.0914046339385
197,5064,5347.54,5064,919.5736557775022
198,5064,5293.43,5064,811.9525386991533
199,5064,5248.04,5064,521.6970178178134
