iteration,best_cost,iteration_best,avg_cost
0,21970,21970,21970
1,21190,21190,21190
2,20730,20730,20730
3,20610,20610,20610
4,20610,20725,20725
5,20240,20240,20240
6,20240,20715,20715
7,20240,20390,20390
8,20240,20375,20375
9,20240,20845,20845
10,20240,20640,20640
11,20240,20715,20715
12,20240,20855,20855
13,20240,20505,20505
14,20240,20740,20740
15,20240,20930,20930
16,20240,20805,20805
17,20240,20580,20580
18,20240,20965,20965
19,20240,20785,20785
20,20240,20645,20645
21,20240,20425,20425
22,20240,20820,20820
23,20240,20515,20515
24,20240,20650,20650
25,20240,20625,20625
26,20240,20750,20750
27,20240,20590,20590
28,20240,20955,20955
29,20240,20520,20520
30,20240,20925,20925
31,20240,20420,20420
32,20240,21045,21045
33,20240,20785,20785
34,20240,20545,20545
35,20240,20860,20860
36,20240,20775,20775
37,20240,20295,20295
38,20240,20770,20770
39,20240,20920,20920
40,20240,20590,20590
41,20240,21065,21065
42,20240,20660,20660
43,20240,20885,20885
44,20240,20940,20940
45,20140,20140,20140
46,20140,20665,20665
47,20140,20750,20750
48,20140,20660,20660
49,20140,20360,20360
50,20140,20720,20720
51,20140,20845,20845
52,20140,20725,20725
53,20140,20980,20980
54,20140,20795,20795
55,20140,21100,21100
56,20140,20740,20740
57,20140,20565,20565
58,20140,20995,20995
59,20140,20325,20325
60,20140,20670,20670
61,20140,20740,20740
62,20140,20545,20545
63,20140,20840,20840
64,20140,20300,20300
65,20140,20865,20865
66,20140,20760,20760
67,20140,20920,20920
68,20140,20660,20660
69,20140,20985,20985
70,20140,20685,20685
71,20140,20980,20980
72,20140,20980,20980
73,20140,20850,20850
74,20140,20630,20630
75,20140,20660,20660
76,20060,20060,20060
77,20060,20480,20480
78,20060,21025,21025
79,20060,20700,20700
80,20060,20850,20850
81,20060,21030,21030
82,20060,20805,20805
83,20060,20590,20590
84,20060,20895,20895
85,20060,21200,21200
86,20060,21060,21060
87,20060,20950,20950
88,20060,20920,20920
89,20060,20885,20885
90,20060,20575,20575
91,20060,20425,20425
92,20060,20500,20500
93,20060,21000,21000
94,20060,20975,20975
95,20060,20945,20945
96,20060,20930,20930
97,20060,21145,21145
98,20060,21015,21015
99,20060,20475,20475
