iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,2125,2125,0.09001669521350475,1.0,2.5,0.9,1.0
1,2125,2700,0.0023529411764705863,1.0,2.5,0.9005,1.0
2,2125,2700,0.002183117314722499,1.0,2.5,0.901,1.0
3,2125,2700,0.002022299767364571,1.0,2.5,0.9015,1.0
4,2125,2700,0.0018927185111332677,1.0,2.5,0.902,1.0
5,2125,2125,0.0017902572027507226,1.0,2.5,0.9025,1.0
6,2125,2700,0.0017078490963008416,1.0,2.5,0.903,1.0
7,2125,2700,0.0015960840501572204,1.0,2.5,0.9035,1.0
8,2125,2525,0.0015642471563855434,1.0,2.5,0.904,1.0
9,2125,2125,0.0014829530489224637,1.0,2.5,0.9045000000000001,1.0
10,2125,2525,0.0014244274093931021,0.9,2.75,0.81,0.0
11,2125,2525,0.0013627662553171345,0.9,2.75,0.81,0.0
12,2125,2525,0.0013009687565078171,0.9,2.75,0.81,0.0
13,2125,2700,0.0012363421367560055,0.9,2.75,0.81,0.0
14,2125,2600,0.0011972873472012044,0.9,2.75,0.81,0.0
15,2125,2525,0.0011717509073912256,0.9,2.75,0.81,0.0
16,2125,2525,0.0011301269410566672,0.9,2.75,0.81,0.0
17,2125,2125,0.0011003312625708075,0.9,2.75,0.81,0.0
18,2125,2525,0.001070856461338652,0.9,2.75,0.81,0.0
19,2125,2125,0.00104383455560751,0.9,2.75,0.81,0.0
20,2125,2525,0.0010297767163272254,0.9,2.75,0.81,0.0
21,2125,2125,0.0011012863841253424,0.9,2.75,0.81,0.0
22,2125,2125,0.0010977811160365763,0.9,2.75,0.81,0.0
23,2125,2125,0.001100387082966548,0.9,2.75,0.81,0.0
24,2125,2125,0.0010999655431926274,0.9,2.75,0.81,0.0
25,2125,2525,0.001462681864228747,1.0,2.5,0.9,0.0
26,2125,2475,0.0019018163936389439,0.9,2.75,0.81,0.0
27,2125,2550,0.0018123481812384681,0.9,2.75,0.81,0.0
28,2125,2125,0.00178044077093964,0.9,2.75,0.81,0.0
29,2125,2525,0.001773386130928199,0.9,2.75,0.81,0.0
30,2125,2525,0.0017222021225423594,0.9,2.75,0.81,0.0
31,2125,2525,0.0016234415314247137,0.9,2.75,0.81,0.0
32,2125,2525,0.0015316856135763595,0.9,2.75,0.81,0.0
33,2125,2125,0.001445516055209751,0.9,2.75,0.81,0.0
34,2125,2125,0.0014171526030287557,0.9,2.75,0.81,0.0
35,2125,2125,0.0014529111768638858,0.9,2.75,0.81,0.0
36,2125,2125,0.001484247753891357,0.9,2.75,0.81,0.0
37,2125,2125,0.0014163444094187033,0.9,2.75,0.81,0.0
38,2125,2125,0.0013696252227141212,0.9,2.75,0.81,0.0
39,2125,2125,0.0013176416098682783,0.9,2.75,0.81,0.0
40,2125,2125,0.0012804337798884298,0.9,2.75,0.81,0.0
41,2125,2125,0.001243756304192707,0.9,2.75,0.81,0.0
42,2125,2125,0.0011985586270929656,0.9,2.75,0.81,0.0
43,2125,2125,0.0011837436417515648,0.9,2.75,0.81,0.0
44,2125,2125,0.0012458685368313563,0.9,2.75,0.81,0.0
45,2125,2125,0.001215272871974903,0.9,2.75,0.81,0.0
46,2125,2600,0.0011849325935516597,0.9,2.75,0.81,0.0
47,2125,2525,0.0011546056046160041,0.9,2.75,0.81,0.0
48,2125,2125,0.0011272806373747426,0.9,2.75,0.81,0.0
49,2125,2525,0.001101132832859601,0.9,2.75,0.81,0.0
50,2125,2525,0.0013627607532458025,1.0,2.5,0.9,0.0
51,2125,2550,0.0017748605823714127,0.9,2.75,0.81,0.0
