iteration,best_cost,iteration_best,avg_cost
0,21735,21735,21735
1,20490,20490,20490
2,20490,20970,20970
3,20490,20700,20700
4,20490,20655,20655
5,20395,20395,20395
6,20395,20600,20600
7,20395,20560,20560
8,20395,20500,20500
9,20335,20335,20335
10,20255,20255,20255
11,20255,20635,20635
12,20245,20245,20245
13,20245,20505,20505
14,20245,20570,20570
15,20085,20085,20085
16,20085,20635,20635
17,20085,20635,20635
18,20085,20510,20510
19,20085,20390,20390
20,20085,20635,20635
21,20085,20500,20500
22,20085,20535,20535
23,20085,20335,20335
24,20085,20295,20295
25,20085,20460,20460
26,20085,20145,20145
27,20085,20335,20335
28,20085,20335,20335
29,20085,20635,20635
30,20085,20635,20635
31,20085,20595,20595
32,20085,20335,20335
33,20085,20585,20585
34,20085,20370,20370
35,20085,20310,20310
36,20085,20135,20135
37,20085,20635,20635
38,20085,20435,20435
39,20085,20335,20335
40,20085,20545,20545
41,20085,20335,20335
42,20085,20485,20485
43,20085,20250,20250
44,20085,20335,20335
45,20085,20460,20460
46,20085,20335,20335
47,20085,20515,20515
48,20085,20455,20455
49,20085,20635,20635
50,20085,20115,20115
51,20085,20335,20335
52,20085,20545,20545
53,20085,20335,20335
54,20085,20445,20445
55,20085,20485,20485
56,20085,20285,20285
57,20085,20635,20635
58,20085,20335,20335
59,20085,20335,20335
60,20085,20695,20695
61,20085,20125,20125
62,19835,19835,19835
63,19835,20295,20295
64,19835,20335,20335
65,19835,20550,20550
66,19835,20535,20535
67,19835,20235,20235
68,19835,20435,20435
69,19835,20335,20335
70,19835,20635,20635
71,19835,20335,20335
72,19835,20335,20335
73,19835,20335,20335
74,19835,20335,20335
75,19835,20160,20160
76,19835,20635,20635
77,19835,20635,20635
78,19835,20635,20635
79,19835,20335,20335
80,19835,20335,20335
81,19835,20435,20435
82,19835,20215,20215
83,19835,20435,20435
84,19835,20645,20645
85,19835,20635,20635
86,19835,20715,20715
87,19835,20130,20130
88,19835,20115,20115
89,19835,20780,20780
90,19835,20500,20500
91,19835,20735,20735
92,19835,20535,20535
93,19835,20740,20740
94,19835,20675,20675
95,19835,20520,20520
96,19835,20560,20560
97,19835,20745,20745
98,19835,20660,20660
99,19835,20675,20675
